name_arr,mass_mean,median_mean,std_mean,cv_mean,n_mean
HFF_6A_Mock_1,100.943864300735,97.4127912736797,32.0559679858177,0.317562322463857,704
HFF_6A_Mock_3,103.702026947458,97.34084163,41.3150802270605,0.398401858123693,808
HFF_6A_Virus4d_1,215.546453042908,197.552959724155,127.727611617948,0.59257579892777,759
HFF_6A_Virus4d_3,216.302155809038,208.035862051334,123.921007565832,0.572906946314652,572
HFF_6D_Mock_1,105.777168477046,100.071455713358,42.4092516219658,0.40093010838316,664
HFF_6D_Mock_4,105.731439524346,98.2950937148388,43.2516446804379,0.409070801220661,653
HFF_6D_Virus4d_2,121.136750880955,98.1707006518236,69.2724460086136,0.571853260920709,788
HFF_6D_Virus4d_4,138.231019942252,115.754140491011,79.4618477919487,0.574848162338272,773
HFF_WT-Mock_1,104.124372161594,99.4274424275208,37.9024924478054,0.364011726178606,844
HFF_WT-Mock_4,108.445576771993,102.226824133999,41.9140725124293,0.386498682196634,815
HFF_WT_Mock_L1,100.607691262059,91.7919737251827,41.4073246722574,0.411572158677224,556
HFF_WT_Virus4d_1,234.791886820237,231.318006,135.509936070339,0.577149142185176,633
